,breed,summary,image,other_names,nicknames,origin,weight,height,coat,color,lifespan
37,Armant (dog),"Armant (also known as Egyptian Sheepdog or Ermenti) is a medium-sized breed of herding dog.

",https://upload.wikimedia.org/wikipedia/commons/2/22/Armant_dog%2C_with_some_orange_stuff_and_trees_in_background.jpg,Egyptian Sheepdog<br />Ermenti<br />Hawara Dog Egyptian armant herding dog,"Egyptian armant herding dog , Black Lion",Egypt,,,,,
38,Armenian Gampr dog,Armenian Gampr (Armenian: գամփռ gamp’ṙ) is a livestock guardian dog native to the Armenian Highlands. It is not recognized by major kennel clubs or fancier organizations as a dog breed because it is a landrace.,https://upload.wikimedia.org/wikipedia/commons/a/a4/Gampr-armenian-wolfhound.jpg,"Gampr, Armenian Wolfhound Gampr",Gampr,[[Armenia]],{{convert|126|-|135|lb|kg|abbr|=|on}},{{convert|25|-|26|in|cm|abbr|=|on}},Thick double [[Coat (dog)|coat]] - thick undercoat.,any color,12–15 years
39,Artois Hound,"The Artois Hound is a rare breed of dog, and a descendant of the Bloodhound. A scent hound 22-23 inches high at the withers, weighing anything between 55 and 65 pounds, it is a well constructed dog with a slow graceful gait. It has a large, strong head, a medium-length back and a pointed tail that tends to be long and sickle-shaped. Their ears are set at eye level; they have large prominent eyes and quite thick lips.",https://upload.wikimedia.org/wikipedia/commons/c/ce/Artois_from_1915.JPG,Chien d'Artois <br> Picard <br> Briquet,,[[France]],{{convert|28| - |30|kg|abbr|=|on}},{{convert|53|-|58|cm|abbr|=|on}},,,
40,Australian Cattle Dog,"The Australian Cattle Dog (ACD), or simply Cattle Dog, is a breed of herding dog originally developed in Australia for droving cattle over long distances across rough terrain. This breed is a medium-sized, short-coated dog that occurs in two main colour forms. It has either brown or black hair distributed fairly evenly through a white coat, which gives the appearance of a ""red"" or ""blue"" dog.
As with dogs from other working breeds, the Australian Cattle Dog is energetic and intelligent with an independent streak. It responds well to structured training, particularly if it is interesting and challenging. It was originally bred to herd by biting, and is known to nip running children. It forms a strong attachment to its owners, and can be protective of them and their possessions. It is easy to groom and maintain, requiring little more than brushing during the shedding period. The most common health problems are deafness and progressive blindness (both hereditary conditions) and accidental injury; otherwise, it is a robust breed with a lifespan of 12 to 14 years.
In the 19th century, New South Wales cattle farmer Thomas Hall crossed the dogs used by drovers in his parents' home county, Northumberland, with dingoes he had tamed. The resulting dogs were known as Halls Heelers. After Hall's death in 1870, the dogs became available beyond the Hall family and their associates. They were subsequently developed into two modern breeds: the Australian Cattle Dog and the Australian Stumpy Tail Cattle Dog. Robert Kaleski, who wrote the first standard for the breed, was influential in its development.
Australian Cattle Dog has been nicknamed a ""Red Heeler"" or ""Blue Heeler"" on the basis of its colouring and practice of moving reluctant cattle by nipping at their heels. Dogs from a line bred in Queensland, Australia, which were successful at shows and at stud in the 1940s, were called ""Queensland Heelers"" to differentiate them from lines bred in New South Wales; this nickname is now occasionally applied to any Australian Cattle Dog.

",https://upload.wikimedia.org/wikipedia/commons/c/cc/ACD-blue-spud.jpg,"ACD, Cattle Dog, Blue Heeler, Red Heeler, Queensland Heeler",,Australia,{{convert|15|-|22|kg|lb|abbr|=|on}},{{convert|46|-|51|cm|in|abbr|=|on}},short double coat,"blue, blue mottled, blue speckled, red mottled, red speckled",
41,Australian Kelpie,"The Australian Kelpie, or simply Kelpie, is an Australian sheep dog successful at mustering and droving with little or no guidance. It is a medium-sized dog and comes in a variety of colours. The Kelpie has been exported throughout the world and is used to muster livestock, primarily sheep, cattle and goats.
The breed has been separated into two distinct varieties: the Show (or Bench) Kelpie and the Working Kelpie. The Show Kelpie is seen at conformation dog shows in some countries and is selected for appearance rather than working instinct, while the Working Kelpie is bred for working ability rather than appearance.

",https://upload.wikimedia.org/wikipedia/commons/7/75/Hilu_the_Australian_Kelpie_dog.jpg,"Kelpie, Barb",Farmer Dog,[[Australia]],{{convert|14|-|20|kg|lb|abbr|=|on}},{{convert|39|-|51|cm|in|abbr|=|on}},short double coat,,12–15 years
42,Australian Shepherd,"The Australian Shepherd, often known simply as the ""Aussie"", is a medium-sized breed of dog that was, despite its name, developed on ranches in the United States during the 19th century. There is disagreement regarding the exact history of the breed prior to its arrival in the United States, and thus no official consensus on the origin of its name or association with Australia.They are similar in appearance to the popular English Shepherd and Border Collie breeds, and research has found that Australian Shepherds and Border Collies are closely related to each other; both the Border Collie and Australian Shepherd are slightly more distantly related to other kinds of Collies and to Shetland Sheepdogs.Australian Shepherds rose in popularity with a boom in Western riding after World War II. They became known to the general public through rodeos, horse shows, and Disney movies made for television.
For many years, Aussies have been valued by stockmen for their versatility and trainability. While they continue to work as stock dogs and compete in herding trials, they have earned recognition in other roles due to their trainability and eagerness to please and are highly regarded for their skills in obedience. Like all working breeds, Aussies have considerable energy and drive and usually need a job to keep them occupied. They often excel at dog sports such as dog agility and frisbee and are also highly successful as search and rescue dogs, disaster dogs, detection dogs, guide dogs, service dogs, and therapy dogs. They are considered the 17th-most popular dog breed in the United States.

",https://upload.wikimedia.org/wikipedia/commons/3/30/Redtriaussie01.jpg,,'''Aussie''',[[United States]],{{convert|40|-|70|lb|kg|abbr|=|on|order|=|flip}},{{convert|19|-|23|in|cm|abbr|=|on|order|=|flip}},Straight and may have curls,"Tri-colored (black/red/blue), Bi-colored (black/red/blue), blue merle/red merle","17–18
 years"
43,Australian Stumpy Tail Cattle Dog,"The Heeler is a naturally bobtailed  or tailless, medium-sized cattle dog similar and/or related to the Australian Cattle Dog (aka, ""Queensland Heeler""). The Australian Stumpy Tail Cattle Dog was developed in Australia  to herd cattle, and descends from crosses between European herding dogs and the Australian dingo. The name is spelled both with hyphenation, Blue Heeler, and without, and the shorter name Heeler is also sometimes applied.

",https://upload.wikimedia.org/wikipedia/commons/1/16/Australian_Stumpy_Tail_Cattle_Dog.jpg,Stumpy Tail Cattle Dog,"Stumpy, Stumpy Tail, Heeler",Australia,,{{convert|46|-|51|cm|in|abbr|=|on}},short,red speckled or blue speckled,13-15 years
44,Australian Terrier,"The Australian Terrier is a small breed of dog of the terrier dog type. The breed was developed in Australia, although the ancestral types of dogs from which the breed descends were from Great Britain.

",https://upload.wikimedia.org/wikipedia/commons/b/b6/Australian_Terrier_adult_male.jpg,,Aussie,[[Australia]],~ {{convert|6.5|kg|lb}},~ {{convert|25|cm|in|0}},,,12-14 years
45,Austrian Black and Tan Hound,The Austrian Black and Tan Hound is a breed of dog originating in Austria.,https://upload.wikimedia.org/wikipedia/commons/a/ac/Brandlbracke.JPG,"Österreichische Glatthaarige, Bracke, Austrian Smooth-haired Hound, Brandlbracke, Doggenwuffen",Bracke (colloquially called Vieräugl),Austria,{{convert|33|-|49|lb|kg|abbr|=|on}},{{convert|50|-|56|cm|in|abbr|=|on}},"smooth, dense, and short",black with light fawn or tan markings,12-14 years
46,Austrian Pinscher,"The Austrian Pinscher (Österreichischer Pinscher, FCI No. 64) is a medium-sized breed of pinscher-type dog from Austria, where dogs of the type were originally farm dogs, keeping barns free of rats and acting as home guards, livestock guardians, and drovers. The name originally given to the breed in 1928 was the Österreichischer Kurzhaarpinscher (Austrian Shorthaired Pinscher) to differentiate it from similarly named breeds, but today in its country of origin the breed is officially called the Österreichischer Pinscher, or Austrian Pinscher in English.",https://upload.wikimedia.org/wikipedia/commons/5/54/Pinczer_austiacki_678.jpg,Österreichischer Kurzhaarpinscher or Austrian Shorthaired Pinscher,,<br />[[Austria]],,{{convert|44|-|50|cm|0|abbr|=|on}},,,
47,Azawakh,"The Azawakh is a sighthound livestock guardian breed of dog from West Africa. It is also used as a hunting dog, though relegated to a secondary function due to the lack of game in the region. With ancient origins, it is raised throughout the Sahelian zone of Mali, Niger,  and Burkina Faso.  This region  includes the Azawagh Valley for which the breed is named.  While commonly associated with the nomadic Tuareg people, they are also bred and owned by other ethnic groups such as the Peulh, Bella, and Hausa. The Azawakah is more related to the Sloughi than it is to the Saluki.",https://upload.wikimedia.org/wikipedia/commons/b/b7/Bistrita_2015_%2822%29.jpg,Idi<br />Hanshee<br />Oska<br />Rawondu<br />Bareeru<br />Wulo<br />(formerly) Tuareg Sloughi,,"[[Mali]], [[Niger]], [[Burkina Faso]]",{{convert|20|-|25|kg|lb|0|abbr|=|on}},{{convert|64|-|74|cm|in|0|abbr|=|on}},"Short, fine",Fawn,
48,Bakharwal dog,"The Bakharwal dog is an ancient working breed of dog found across the Pir Panjal Range of India, where it has been bred for many centuries by the Bakarwal and Gujjar nomadic tribes, as a livestock guardian dog and settlement protector. The Bakharwal Dog is used by the Indian Police Service to capture militants across the country.A recent study says that this breed is on the verge of extinction and Bakerwal community has appealed to include this animal in the endangered species category. Of late, there were many cases when this mountain breed of dog contracted rabies or was shot by separatist militants.It has more hair on its ears, neck, has a sturdy back, bushy tail and prefers colder climes.

",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,"Bakarwali Shepherd Dog, Indian Bakharwal Dog, Kashmiri Sheepdog, Kashmiri Mastiff, Gujjar Watchdog",,Indian subcontinent,,,,,
49,Barbado da Terceira,"The Barbado da Terceira is a medium-sized dog, with a volumous and robust look. The Barbado da Terceira is the most recently recognized Portuguese breed. The Portuguese Kennel Club (CPC) recognized it, on a provisional basis, on November 2004, however it is recognized by The Fédération Cynologique Internationale (FCI). It is a population native to the Azores, in particular Terceira Island.",https://upload.wikimedia.org/wikipedia/commons/5/56/Barbado_da_Terceira_%28young_female%29.jpg,"Terceira Cattle Dog, Bouvier Portugais",,[[Portugal]],28-32kg,{{convert|50-58|cm|in|abbr|=|on}},Curly or semi-curly,"Black, yellow or white",15Y
